Date,District,PM2.5,PM10,NO2,SO2
01/01/2014,Kolkata,110.00,181.97,70.07,9.26
02/01/2014,Kolkata,162.00,302.66,105.22,14.71
03/01/2014,Kolkata,-1,274.79,158.91,8.33
04/01/2014,Kolkata,118.00,245.71,101.36,11.50
05/01/2014,Kolkata,155.00,236.79,78.69,13.20
06/01/2014,Kolkata,-1,208.48,107.62,8.61
07/01/2014,Kolkata,115.00,245.50,92.52,12.03
08/01/2014,Kolkata,147.00,268.00,92.66,12.61
09/01/2014,Kolkata,-1,176.37,71.24,5.26
10/01/2014,Kolkata,127.00,217.56,79.35,12.43
11/01/2014,Kolkata,142.00,268.42,96.83,12.92
12/01/2014,Kolkata,-1,248.73,128.52,7.63
13/01/2014,Kolkata,-1,156.48,56.57,7.36
14/01/2014,Kolkata,-1,167.58,67.44,8.62
15/01/2014,Kolkata,119.00,198.30,86.52,12.03
16/01/2014,Kolkata,148.00,212.70,79.08,14.76
17/01/2014,Kolkata,-1,152.37,42.26,4.77
18/01/2014,Kolkata,125.00,201.12,71.55,12.44
19/01/2014,Kolkata,159.00,253.23,88.18,13.89
20/01/2014,Kolkata,-1,206.91,123.46,8.01
21/01/2014,Kolkata,-1,226.40,107.35,8.93
22/01/2014,Kolkata,-1,132.47,50.57,7.84
23/01/2014,Kolkata,111.00,185.27,68.63,12.54
24/01/2014,Kolkata,150.00,268.22,87.49,12.77
25/01/2014,Kolkata,-1,267.71,172.69,10.69
26/01/2014,Kolkata,130.00,238.83,86.22,12.44
27/01/2014,Kolkata,146.00,225.43,84.03,13.54
28/01/2014,Kolkata,-1,125.15,56.91,8.55
29/01/2014,Kolkata,97.00,177.88,66.20,11.88
30/01/2014,Kolkata,133.00,236.30,69.13,40.42
31/01/2014,Kolkata,-1,218.31,104.98,9.90
01/02/2014,Kolkata,140.00,249.42,79.94,11.53
02/02/2014,Kolkata,-1,244.40,66.17,10.16
03/02/2014,Kolkata,-1,180.85,69.78,13.72
