Date,District,PM2.5,PM10,NO2,SO2
01/01/2013,Kolkata,-1,237.83,122.90,7.81
02/01/2013,Kolkata,186.00,295.15,107.73,13.19
03/01/2013,Kolkata,197.00,322.05,103.74,12.03
04/01/2013,Kolkata,-1,164.09,92.28,10.38
05/01/2013,Kolkata,205.00,235.86,75.28,11.98
06/01/2013,Kolkata,155.00,276.49,76.79,11.78
07/01/2013,Kolkata,-1,185.68,66.13,11.07
08/01/2013,Kolkata,199.00,270.45,73.98,12.10
09/01/2013,Kolkata,168.00,296.08,75.39,13.66
10/01/2013,Kolkata,-1,158.20,46.71,7.98
11/01/2013,Kolkata,161.00,279.15,78.27,13.42
12/01/2013,Kolkata,139.00,287.26,86.56,11.76
13/01/2013,Kolkata,-1,194.93,103.54,7.16
14/01/2013,Kolkata,-1,293.87,156.97,10.45
15/01/2013,Kolkata,-1,314.42,209.75,8.43
16/01/2013,Kolkata,-1,353.01,275.51,12.98
17/01/2013,Kolkata,185.00,315.71,142.97,14.19
18/01/2013,Kolkata,156.00,312.07,142.40,12.50
19/01/2013,Kolkata,-1,274.31,252.38,16.43
20/01/2013,Kolkata,-1,263.85,140.19,13.61
21/01/2013,Kolkata,120.00,257.49,111.68,10.32
22/01/2013,Kolkata,-1,152.52,78.27,11.30
23/01/2013,Kolkata,119.00,186.30,62.85,13.06
24/01/2013,Kolkata,-1,206.72,76.01,19.43
25/01/2013,Kolkata,-1,159.80,151.91,11.29
26/01/2013,Kolkata,128.00,211.05,86.84,15.24
27/01/2013,Kolkata,171.00,240.90,80.63,11.24
28/01/2013,Kolkata,-1,143.44,79.48,4.97
29/01/2013,Kolkata,138.00,192.76,78.19,7.82
30/01/2013,Kolkata,202.00,271.38,95.49,11.81
31/01/2013,Kolkata,-1,213.82,141.14,6.91
01/02/2013,Kolkata,232.00,284.85,112.54,13.04
02/02/2013,Kolkata,255.00,307.19,122.56,13.77
03/02/2013,Kolkata,-1,236.66,167.52,11.72
04/02/2013,Kolkata,-1,268.62,148.00,14.15
05/02/2013,Kolkata,-1,262.33,100.29,14.73
06/02/2013,Kolkata,187.00,270.63,104.87,10.38
07/02/2013,Kolkata,213.00,254.20,96.20,13.35
