Date,District,PM2.5,PM10,NO2,SO2
01/01/2015,Kolkata,170.00,252.06,124.61,16.41
02/01/2015,Kolkata,-1,236.17,96.57,12.94
03/01/2015,Kolkata,-1,101.98,57.01,8.54
04/01/2015,Kolkata,36.00,73.08,49.15,6.24
05/01/2015,Kolkata,47.00,82.56,55.48,5.90
06/01/2015,Kolkata,-1,82.67,58.57,6.91
07/01/2015,Kolkata,94.00,187.62,106.73,12.06
08/01/2015,Kolkata,109.00,197.95,91.61,9.74
09/01/2015,Kolkata,-1,242.59,113.43,10.82
10/01/2015,Kolkata,132.00,235.60,97.42,11.77
11/01/2015,Kolkata,105.00,193.41,87.71,11.08
12/01/2015,Kolkata,-1,191.87,78.55,13.56
13/01/2015,Kolkata,109.00,207.51,72.38,9.56
14/01/2015,Kolkata,136.00,224.10,90.18,13.49
15/01/2015,Kolkata,-1,271.00,115.18,12.93
16/01/2015,Kolkata,138.00,293.42,188.13,14.47
17/01/2015,Kolkata,148.00,256.60,158.48,11.75
18/01/2015,Kolkata,-1,201.22,116.85,13.67
19/01/2015,Kolkata,-1,178.78,107.93,14.07
20/01/2015,Kolkata,117.00,207.44,78.58,8.77
21/01/2015,Kolkata,127.00,254.11,95.75,12.63
22/01/2015,Kolkata,-1,200.60,100.61,14.75
23/01/2015,Kolkata,141.00,227.11,128.18,18.47
24/01/2015,Kolkata,-1,257.37,135.51,12.84
25/01/2015,Kolkata,-1,224.93,124.52,19.36
26/01/2015,Kolkata,132.00,244.64,130.78,16.28
27/01/2015,Kolkata,-1,202.70,105.93,12.30
28/01/2015,Kolkata,104.00,185.41,86.54,10.42
29/01/2015,Kolkata,138.00,219.12,121.03,14.63
30/01/2015,Kolkata,-1,181.94,102.30,14.48
31/01/2015,Kolkata,83.00,146.69,71.27,11.68
01/02/2015,Kolkata,99.00,179.27,81.14,10.57
02/02/2015,Kolkata,-1,171.73,80.40,12.10
03/02/2015,Kolkata,83.00,149.90,71.07,10.60
04/02/2015,Kolkata,-1,225.40,123.68,14.93
05/02/2015,Kolkata,115.00,234.52,150.62,14.39
06/02/2015,Kolkata,-1,226.99,110.01,17.20
07/02/2015,Kolkata,94.00,193.65,78.65,9.57
08/02/2015,Kolkata,90.00,185.51,92.27,12.60
09/02/2015,Kolkata,-1,220.92,138.32,12.16
10/02/2015,Kolkata,-1,195.31,96.15,13.41
11/02/2015,Kolkata,104.00,225.82,113.17,15.29
12/02/2015,Kolkata,-1,206.45,89.70,13.39
13/02/2015,Kolkata,110.00,214.79,106.88,12.49
14/02/2015,Kolkata,101.00,206.92,99.59,12.06
15/02/2015,Kolkata,-1,196.83,95.82,12.17
16/02/2015,Kolkata,89.00,159.65,65.71,8.73
17/02/2015,Kolkata,62.00,123.81,53.75,9.85
18/02/2015,Kolkata,-1,115.83,69.39,6.19
19/02/2015,Kolkata,42.00,102.57,55.39,7.33
20/02/2015,Kolkata,57.00,103.17,56.59,7.83
21/02/2015,Kolkata,-1,102.59,51.73,7.22
22/02/2015,Kolkata,60.00,105.06,77.87,11.49
23/02/2015,Kolkata,-1,107.02,62.83,11.42
24/02/2015,Kolkata,-1,86.52,46.70,9.29
25/02/2015,Kolkata,58.00,82.83,48.60,7.98
26/02/2015,Kolkata,54.00,110.42,60.06,10.95
27/02/2015,Kolkata,-1,140.52,62.13,13.04
28/02/2015,Kolkata,63.00,118.72,69.16,10.02
01/03/2015,Kolkata,-1,121.42,68.27,11.61
02/03/2015,Kolkata,58.00,109.86,67.80,8.26
03/03/2015,Kolkata,53.00,94.60,63.57,11.73
04/03/2015,Kolkata,-1,117.45,48.86,7.65
