Date,District,PM2.5,PM10,NO2,SO2
01/01/2012,Kolkata,-1,148.87,76.65,9.07
02/01/2012,Kolkata,-1,141.75,96.77,13.23
03/01/2012,Kolkata,-1,171.50,69.29,17.94
04/01/2012,Kolkata,138.00,93.95,44.57,9.58
05/01/2012,Kolkata,-1,136.16,45.29,9.13
06/01/2012,Kolkata,121.00,148.41,43.54,9.19
07/01/2012,Kolkata,-1,162.31,40.16,10.03
08/01/2012,Kolkata,-1,118.42,60.68,14.80
09/01/2012,Kolkata,-1,111.86,64.66,7.63
10/01/2012,Kolkata,68.00,111.83,48.03,5.63
11/01/2012,Kolkata,-1,548.29,54.93,4.38
12/01/2012,Kolkata,119.00,159.99,63.75,6.87
13/01/2012,Kolkata,-1,146.63,57.79,11.75
14/01/2012,Kolkata,-1,121.72,66.78,7.97
15/01/2012,Kolkata,-1,112.66,80.13,15.70
16/01/2012,Kolkata,-1,188.21,99.41,14.14
17/01/2012,Kolkata,-1,261.40,81.38,9.66
18/01/2012,Kolkata,101.00,187.09,72.94,11.78
19/01/2012,Kolkata,-1,88.92,54.84,9.09
20/01/2012,Kolkata,60.00,358.44,73.64,12.73
21/01/2012,Kolkata,-1,84.06,50.78,8.64
22/01/2012,Kolkata,-1,89.20,71.67,12.18
23/01/2012,Kolkata,-1,182.67,68.46,10.57
24/01/2012,Kolkata,127.00,170.53,76.50,10.33
25/01/2012,Kolkata,264.00,216.38,117.38,13.78
26/01/2012,Kolkata,-1,261.99,130.46,10.61
27/01/2012,Kolkata,-1,261.20,179.68,16.96
28/01/2012,Kolkata,157.00,213.54,84.19,13.14
29/01/2012,Kolkata,-1,184.97,132.10,8.71
30/01/2012,Kolkata,-1,193.52,155.39,9.80
31/01/2012,Kolkata,-1,213.95,114.37,14.32
01/02/2012,Kolkata,-1,188.74,122.54,10.46
02/02/2012,Kolkata,-1,190.26,80.14,9.40
03/02/2012,Kolkata,-1,251.80,99.30,15.33
04/02/2012,Kolkata,-1,204.83,100.00,14.09
05/02/2012,Kolkata,-1,294.99,128.86,9.74
06/02/2012,Kolkata,-1,220.10,158.58,18.80
07/02/2012,Kolkata,-1,183.61,119.53,18.40
08/02/2012,Kolkata,160.00,206.77,115.63,25.25
09/02/2012,Kolkata,-1,175.52,98.93,13.05
10/02/2012,Kolkata,68.00,142.63,55.86,11.15
11/02/2012,Kolkata,-1,141.09,47.12,8.86
12/02/2012,Kolkata,-1,174.39,123.86,15.03
13/02/2012,Kolkata,-1,173.72,122.40,13.49
14/02/2012,Kolkata,-1,186.82,108.27,11.68
15/02/2012,Kolkata,208.00,203.47,94.39,12.61
16/02/2012,Kolkata,-1,187.65,88.13,10.78
17/02/2012,Kolkata,121.00,111.70,52.37,12.59
18/02/2012,Kolkata,-1,187.79,76.05,7.25
19/02/2012,Kolkata,-1,174.96,113.60,17.60
20/02/2012,Kolkata,-1,185.15,119.20,13.25
21/02/2012,Kolkata,-1,199.75,99.33,14.75
22/02/2012,Kolkata,255.00,230.96,99.47,13.52
