01/01/19 : [210.82857142857142, 244.71428571428572]
02/01/19 : [202.21571428571428, 239.14285714285714]
03/01/19 : [310.10714285714283, 315.2857142857143]
04/01/19 : [300.1042857142857, 293.7142857142857]
05/01/19 : [287.51714285714286, 287.85714285714283]
06/01/19 : [200.6757142857143, 224.85714285714286]
07/01/19 : [202.91714285714286, 230.42857142857142]
08/01/19 : [205.03571428571428, 231.14285714285714]
09/01/19 : [235.09636363636363, 243.54545454545453]
10/01/19 : [244.18428571428572, 265.14285714285717]
11/01/19 : [251.89142857142858, 266.14285714285717]
12/01/19 : [287.05571428571426, 292.14285714285717]
13/01/19 : [232.4385714285714, 256.7142857142857]
14/01/19 : [299.68142857142857, 297.0]
15/01/19 : [235.72636363636363, 250.27272727272728]
16/01/19 : [199.60285714285715, 220.57142857142858]
17/01/19 : [249.40714285714284, 260.14285714285717]
18/01/19 : [310.13571428571424, 303.57142857142856]
19/01/19 : [290.2457142857143, 291.42857142857144]
20/01/19 : [247.81857142857143, 260.57142857142856]
21/01/19 : [288.5918181818182, 281.0]
22/01/19 : [299.6385714285715, 292.0]
23/01/19 : [249.5742857142857, 265.85714285714283]
24/01/19 : [271.3542857142857, 281.2857142857143]
25/01/19 : [256.2257142857143, 260.14285714285717]
26/01/19 : [202.92000000000002, 217.0]
27/01/19 : [191.31, 214.71428571428572]
28/01/19 : [168.81571428571428, 191.71428571428572]
29/01/19 : [180.01818181818183, 189.1818181818182]
30/01/19 : [184.34, 189.0]
31/01/19 : [243.02428571428572, 252.28571428571428]
01/02/19 : [226.9057142857143, 248.85714285714286]
02/02/19 : [227.31857142857143, 248.85714285714286]
03/02/19 : [224.76999999999998, 246.42857142857142]
04/02/19 : [238.0957142857143, 255.42857142857142]
05/02/19 : [214.31428571428572, 238.28571428571428]
06/02/19 : [226.18428571428572, 252.14285714285714]
07/02/19 : [217.9327272727273, 234.9090909090909]
08/02/19 : [208.77714285714288, 219.57142857142858]
09/02/19 : [156.37857142857143, 186.85714285714286]
10/02/19 : [144.0614285714286, 134.0]
11/02/19 : [159.85857142857142, 164.42857142857142]
12/02/19 : [185.62181818181818, 200.45454545454547]
13/02/19 : [199.68428571428572, 224.14285714285714]
14/02/19 : [217.01142857142855, 244.57142857142858]
15/02/19 : [221.60142857142858, 240.85714285714286]
16/02/19 : [152.21285714285713, 161.57142857142858]
17/02/19 : [141.48714285714286, 157.0]
18/02/19 : [186.40714285714284, 201.14285714285714]
19/02/19 : [171.3857142857143, 192.85714285714286]
20/02/19 : [158.01857142857145, 179.14285714285714]
21/02/19 : [188.75142857142856, 207.0]
22/02/19 : [158.89, 168.8181818181818]
23/02/19 : [165.02285714285713, 177.57142857142858]
24/02/19 : [151.59285714285716, 151.28571428571428]
25/02/19 : [84.86285714285714, 97.0]
26/02/19 : [87.03272727272727, 88.81818181818181]
27/02/19 : [48.07285714285714, 55.714285714285715]
28/02/19 : [77.54857142857144, 87.28571428571429]
01/03/19 : [115.30571428571429, 114.0]
02/03/19 : [140.42428571428573, 144.0]
03/03/19 : [157.97571428571428, 169.85714285714286]
04/03/19 : [125.3, 133.1818181818182]
05/03/19 : [122.19142857142857, 119.42857142857143]
06/03/19 : [142.26857142857142, 151.28571428571428]
07/03/19 : [128.74714285714285, 127.0]
08/03/19 : [149.6457142857143, 144.42857142857142]
09/03/19 : [159.67833333333334, 153.66666666666666]
10/03/19 : [112.17166666666667, 110.66666666666667]
11/03/19 : [147.43428571428572, 157.42857142857142]
12/03/19 : [143.48545454545456, 152.72727272727272]
13/03/19 : [121.18857142857142, 128.85714285714286]
14/03/19 : [169.2357142857143, 170.85714285714286]
15/03/19 : [130.96142857142857, 137.28571428571428]
16/03/19 : [105.82142857142857, 102.0]
17/03/19 : [114.50571428571428, 121.14285714285714]
18/03/19 : [107.03454545454547, 106.72727272727273]
19/03/19 : [123.36142857142856, 124.14285714285714]
20/03/19 : [135.78285714285715, 132.42857142857142]
21/03/19 : [87.41142857142857, 89.85714285714286]
22/03/19 : [89.59285714285714, 87.85714285714286]
23/03/19 : [124.51666666666667, 125.16666666666667]
24/03/19 : [103.03333333333335, 104.83333333333333]
25/03/19 : [151.51, 151.33333333333334]
26/03/19 : [146.778, 139.5]
27/03/19 : [103.28166666666668, 106.0]
28/03/19 : [114.22333333333334, 111.33333333333333]
29/03/19 : [102.01166666666666, 98.66666666666667]
30/03/19 : [102.13499999999999, 101.33333333333333]
31/03/19 : [82.82642857142856, 82.42857142857143]
01/04/19 : [53.28, 54.5]
02/04/19 : [97.945, 93.5]
03/04/19 : [89.265, 87.5]
04/04/19 : [82.04142857142857, 79.71428571428571]
05/04/19 : [86.01636363636364, 84.63636363636364]
06/04/19 : [63.49285714285714, 63.714285714285715]
07/04/19 : [84.73285714285714, 82.14285714285714]
08/04/19 : [78.59, 77.0]
09/04/19 : [64.5457142857143, 177.0]
10/04/19 : [67.04454545454547, 66.45454545454545]
11/04/19 : [61.371428571428574, 61.857142857142854]
12/04/19 : [66.19142857142857, 66.57142857142857]
13/04/19 : [74.81428571428572, 75.0]
14/04/19 : [63.72714285714285, 65.14285714285714]
15/04/19 : [77.72909090909091, 76.36363636363636]
16/04/19 : [80.55285714285712, 79.71428571428571]
17/04/19 : [100.47571428571428, 99.0]
18/04/19 : [124.84142857142858, 117.85714285714286]
19/04/19 : [103.26285714285714, 105.85714285714286]
20/04/19 : [100.13857142857144, 97.28571428571429]
21/04/19 : [73.17714285714285, 71.71428571428571]
22/04/19 : [77.9490909090909, 77.9090909090909]
23/04/19 : [78.01285714285714, 77.14285714285714]
24/04/19 : [72.66714285714286, 70.85714285714286]
25/04/19 : [59.10142857142857, 59.142857142857146]
26/04/19 : [79.35571428571428, 78.42857142857143]
27/04/19 : [75.24000000000001, 74.42857142857143]
28/04/19 : [67.4442857142857, 67.0]
29/04/19 : [66.21428571428571, 65.71428571428571]
30/04/19 : [81.63363636363637, 79.0909090909091]
01/05/19 : [52.309999999999995, 53.42857142857143]
02/05/19 : [49.51571428571428, 50.285714285714285]
03/05/19 : [32.19142857142857, 39.285714285714285]
04/05/19 : [55.010000000000005, 57.857142857142854]
05/05/19 : [80.02714285714285, 78.71428571428571]
06/05/19 : [93.90857142857143, 90.57142857142857]
07/05/19 : [105.46571428571427, 101.42857142857143]
08/05/19 : [87.63454545454546, 85.54545454545455]
09/05/19 : [109.78857142857143, 104.28571428571429]
10/05/19 : [97.69857142857143, 94.71428571428571]
11/05/19 : [88.93999999999998, 86.0]
12/05/19 : [88.19714285714285, 86.85714285714286]
13/05/19 : [77.00909090909092, 76.18181818181819]
14/05/19 : [71.53, 70.57142857142857]
15/05/19 : [80.85000000000001, 79.42857142857143]
16/05/19 : [83.52, 82.71428571428571]
17/05/19 : [77.85714285714288, 77.57142857142857]
18/05/19 : [84.82285714285713, 83.0]
19/05/19 : [97.84333333333332, 97.33333333333333]
