01/01/17 : [267.1014285714286, 249.71428571428572]
02/01/17 : [267.36454545454546, 241.0]
03/01/17 : [248.47714285714284, 221.0]
04/01/17 : [230.03285714285715, 208.14285714285714]
05/01/17 : [200.28285714285715, 185.71428571428572]
06/01/17 : [223.2957142857143, 200.0]
07/01/17 : [212.74857142857144, 196.14285714285714]
08/01/17 : [193.29999999999998, 181.42857142857142]
09/01/17 : [224.59142857142857, 201.85714285714286]
10/01/17 : [192.75727272727272, 186.45454545454547]
11/01/17 : [175.35285714285715, 168.14285714285714]
12/01/17 : [182.36999999999998, 173.71428571428572]
13/01/17 : [175.74428571428572, 162.42857142857142]
14/01/17 : [199.8242857142857, 186.42857142857142]
15/01/17 : [198.09166666666667, 183.33333333333334]
16/01/17 : [214.71833333333333, 203.33333333333334]
17/01/17 : [240.34363636363634, 228.63636363636363]
18/01/17 : [242.96142857142857, 218.28571428571428]
19/01/17 : [200.06285714285715, 186.28571428571428]
20/01/17 : [184.71, 177.28571428571428]
21/01/17 : [224.75, 217.25]
22/01/17 : [207.0, 209.25]
23/01/17 : [202.875, 191.875]
24/01/17 : [193.96142857142857, 182.42857142857142]
25/01/17 : [206.05857142857144, 195.28571428571428]
26/01/17 : [164.01999999999998, 157.28571428571428]
27/01/17 : [231.57142857142858, 213.14285714285714]
28/01/17 : [198.4485714285714, 180.85714285714286]
29/01/17 : [137.44571428571427, 142.57142857142858]
30/01/17 : [190.20142857142858, 178.42857142857142]
31/01/17 : [201.96272727272728, 194.0]
01/02/17 : [214.85, 198.14285714285714]
02/02/17 : [197.17714285714285, 184.57142857142858]
03/02/17 : [178.87857142857143, 171.85714285714286]
04/02/17 : [213.98833333333334, 195.83333333333334]
05/02/17 : [179.905, 168.16666666666666]
06/02/17 : [192.571, 191.2]
07/02/17 : [233.125, 212.0]
08/02/17 : [206.78833333333333, 195.5]
09/02/17 : [185.70333333333335, 181.5]
10/02/17 : [193.9433333333333, 181.33333333333334]
11/02/17 : [178.31, 168.42857142857142]
12/02/17 : [164.96142857142857, 153.85714285714286]
13/02/17 : [235.05428571428573, 208.0]
14/02/17 : [197.7190909090909, 189.0]
15/02/17 : [173.13857142857142, 164.42857142857142]
16/02/17 : [224.57999999999998, 197.42857142857142]
17/02/17 : [207.00857142857143, 189.57142857142858]
18/02/17 : [191.6357142857143, 180.28571428571428]
19/02/17 : [172.01999999999998, 162.0]
20/02/17 : [158.40090909090907, 143.0]
21/02/17 : [141.03, 131.0]
22/02/17 : [130.8557142857143, 124.42857142857143]
23/02/17 : [158.78571428571428, 159.42857142857142]
24/02/17 : [172.31571428571428, 168.28571428571428]
25/02/17 : [203.71166666666667, 187.16666666666666]
26/02/17 : [173.76833333333335, 157.0]
27/02/17 : [166.41166666666666, 167.66666666666666]
28/02/17 : [184.25799999999998, 183.5]
01/03/17 : [140.0, 135.33333333333334]
02/03/17 : [126.705, 119.33333333333333]
03/03/17 : [124.51833333333333, 114.5]
04/03/17 : [123.01166666666666, 116.83333333333333]
05/03/17 : [90.41333333333334, 87.33333333333333]
06/03/17 : [120.69333333333333, 123.5]
07/03/17 : [154.25799999999998, 145.1]
08/03/17 : [94.87666666666667, 101.5]
09/03/17 : [68.5, 68.5]
10/03/17 : [79.76666666666667, 79.5]
11/03/17 : [103.25166666666667, 96.16666666666667]
12/03/17 : [89.60833333333333, 86.66666666666667]
13/03/17 : [125.997, 123.7]
14/03/17 : [136.98499999999999, 131.66666666666666]
15/03/17 : [156.08142857142857, 146.71428571428572]
16/03/17 : [180.38714285714286, 167.28571428571428]
17/03/17 : [132.5557142857143, 123.14285714285714]
18/03/17 : [105.49714285714286, 100.71428571428571]
19/03/17 : [128.09, 117.0]
20/03/17 : [104.15090909090908, 100.81818181818181]
21/03/17 : [120.39142857142858, 111.85714285714286]
22/03/17 : [115.73428571428572, 108.71428571428571]
23/03/17 : [114.34285714285716, 107.85714285714286]
24/03/17 : [113.76285714285713, 106.57142857142857]
25/03/17 : [113.23142857142857, 107.0]
26/03/17 : [94.5, 92.5]
27/03/17 : [116.47, 109.28571428571429]
28/03/17 : [95.92454545454547, 93.81818181818181]
29/03/17 : [92.19857142857143, 90.42857142857143]
30/03/17 : [101.03285714285714, 95.71428571428571]
31/03/17 : [86.67999999999999, 86.28571428571429]
01/04/17 : [96.31428571428572, 93.71428571428571]
02/04/17 : [79.98857142857143, 79.57142857142857]
03/04/17 : [115.41428571428571, 107.57142857142857]
04/04/17 : [93.47000000000001, 91.18181818181819]
05/04/17 : [70.01833333333333, 70.16666666666667]
06/04/17 : [77.08, 75.0]
07/04/17 : [77.98833333333333, 77.66666666666667]
08/04/17 : [87.938, 86.6]
09/04/17 : [75.78999999999999, 74.2]
10/04/17 : [128.695, 117.8]
11/04/17 : [129.66333333333333, 119.5]
12/04/17 : [99.67166666666667, 106.66666666666667]
13/04/17 : [97.288, 94.6]
14/04/17 : [98.875, 96.33333333333333]
15/04/17 : [102.96499999999999, 98.66666666666667]
16/04/17 : [79.34333333333333, 78.16666666666667]
17/04/17 : [96.77333333333333, 94.33333333333333]
18/04/17 : [88.474, 87.4]
19/04/17 : [96.62166666666667, 93.16666666666667]
20/04/17 : [76.72166666666666, 77.0]
21/04/17 : [102.40000000000002, 99.16666666666667]
22/04/17 : [92.86000000000001, 89.5]
23/04/17 : [83.83666666666666, 82.66666666666667]
24/04/17 : [93.284, 92.1]
25/04/17 : [119.48333333333333, 111.5]
26/04/17 : [110.42666666666666, 105.0]
27/04/17 : [98.55666666666666, 96.16666666666667]
28/04/17 : [105.32857142857142, 100.85714285714286]
29/04/17 : [84.86285714285714, 84.14285714285714]
30/04/17 : [73.93999999999998, 73.57142857142857]
01/05/17 : [76.55714285714285, 75.28571428571429]
02/05/17 : [73.80545454545455, 73.9090909090909]
03/05/17 : [86.25428571428571, 84.28571428571429]
04/05/17 : [112.875, 107.5]
05/05/17 : [92.16285714285713, 89.28571428571429]
06/05/17 : [77.48285714285714, 77.71428571428571]
07/05/17 : [79.08571428571429, 80.14285714285714]
08/05/17 : [85.65454545454546, 83.18181818181819]
09/05/17 : [78.125, 78.25]
10/05/17 : [81.93142857142857, 80.71428571428571]
11/05/17 : [82.53142857142858, 82.42857142857143]
12/05/17 : [75.00714285714285, 75.14285714285714]
13/05/17 : [77.30142857142857, 77.42857142857143]
14/05/17 : [68.40142857142857, 68.57142857142857]
15/05/17 : [74.11, 74.33333333333333]
16/05/17 : [79.07454545454544, 80.36363636363636]
17/05/17 : [100.47200000000001, 98.2]
18/05/17 : [103.79400000000001, 100.6]
19/05/17 : [86.606, 91.4]
20/05/17 : [103.145, 99.5]
21/05/17 : [81.646, 84.2]
22/05/17 : [94.06444444444443, 93.55555555555556]
23/05/17 : [100.64, 96.2]
24/05/17 : [82.375, 82.5]
25/05/17 : [78.75, 79.0]
26/05/17 : [81.125, 80.0]
27/05/17 : [71.25, 71.5]
28/05/17 : [69.75, 70.0]
29/05/17 : [83.625, 82.75]
30/05/17 : [86.0625, 86.375]
31/05/17 : [88.125, 87.0]
01/06/17 : [68.0, 68.25]
02/06/17 : [61.75, 62.0]
03/06/17 : [63.625, 64.0]
04/06/17 : [60.25, 60.5]
05/06/17 : [77.625, 78.0]
06/06/17 : [71.11999999999999, 70.18181818181819]
07/06/17 : [83.455, 72.28571428571429]
08/06/17 : [87.69333333333333, 75.57142857142857]
09/06/17 : [68.03333333333335, 60.857142857142854]
10/06/17 : [63.89333333333334, 57.285714285714285]
11/06/17 : [56.745000000000005, 51.0]
12/06/17 : [74.579, 71.0909090909091]
13/06/17 : [77.52857142857144, 76.0]
14/06/17 : [69.71857142857144, 68.71428571428571]
15/06/17 : [64.5, 64.75]
16/06/17 : [73.51714285714286, 73.42857142857143]
17/06/17 : [74.23428571428572, 73.42857142857143]
18/06/17 : [80.02571428571427, 74.42857142857143]
19/06/17 : [87.48142857142857, 83.57142857142857]
20/06/17 : [71.77545454545454, 74.72727272727273]
21/06/17 : [61.73571428571428, 65.42857142857143]
22/06/17 : [73.91000000000001, 80.83333333333333]
23/06/17 : [57.625, 58.0]
