01/01/18 : [241.89625, 266.5]
02/01/18 : [268.0633333333333, 279.3333333333333]
03/01/18 : [284.6422222222222, 286.77777777777777]
04/01/18 : [273.42555555555555, 285.77777777777777]
05/01/18 : [281.14000000000004, 290.0]
06/01/18 : [270.5625, 269.75]
07/01/18 : [221.625, 210.375]
08/01/18 : [278.36823529411765, 253.7058823529412]
09/01/18 : [270.69882352941175, 251.05882352941177]
10/01/18 : [288.65625, 260.0]
11/01/18 : [266.15764705882356, 246.35294117647058]
12/01/18 : [273.2988235294118, 253.94117647058823]
13/01/18 : [296.58294117647057, 270.0]
14/01/18 : [246.6211764705882, 234.58823529411765]
15/01/18 : [270.4476470588236, 251.35294117647058]
16/01/18 : [345.2676470588235, 309.4117647058824]
17/01/18 : [315.3594117647059, 281.70588235294116]
18/01/18 : [287.46705882352944, 259.4117647058824]
19/01/18 : [300.9788235294117, 270.52941176470586]
20/01/18 : [275.28882352941173, 250.88235294117646]
21/01/18 : [232.7294117647059, 224.76470588235293]
22/01/18 : [251.70882352941177, 235.58823529411765]
23/01/18 : [232.61529411764707, 222.23529411764707]
24/01/18 : [246.6505882352941, 238.41176470588235]
25/01/18 : [241.2341176470588, 230.05882352941177]
26/01/18 : [206.5135294117647, 209.52941176470588]
27/01/18 : [260.77647058823527, 245.7058823529412]
28/01/18 : [197.875, 195.875]
29/01/18 : [230.46875, 219.0625]
30/01/18 : [246.21875, 227.6875]
31/01/18 : [264.84375, 241.0]
01/02/18 : [264.375, 238.9375]
02/02/18 : [231.1875, 218.25]
03/02/18 : [224.15625, 215.25]
04/02/18 : [203.15625, 194.3125]
05/02/18 : [221.375, 206.5625]
06/02/18 : [216.53125, 207.75]
07/02/18 : [235.10176470588235, 222.94117647058823]
08/02/18 : [220.21823529411765, 210.35294117647058]
09/02/18 : [196.06235294117647, 196.7058823529412]
10/02/18 : [185.90176470588236, 182.8235294117647]
11/02/18 : [205.30117647058822, 196.58823529411765]
12/02/18 : [233.97882352941176, 219.23529411764707]
13/02/18 : [245.15529411764703, 227.11764705882354]
14/02/18 : [218.51882352941175, 206.1764705882353]
15/02/18 : [231.37764705882353, 218.2941176470588]
16/02/18 : [211.875, 199.25]
17/02/18 : [236.5625, 218.0625]
18/02/18 : [192.40625, 184.8125]
19/02/18 : [207.65625, 196.125]
20/02/18 : [188.375, 178.6875]
21/02/18 : [187.5625, 177.625]
22/02/18 : [172.21875, 161.8125]
23/02/18 : [160.40625, 151.1875]
24/02/18 : [151.0, 143.375]
25/02/18 : [129.90625, 125.5]
26/02/18 : [145.5, 134.6875]
27/02/18 : [152.0, 142.9375]
28/02/18 : [137.68588235294118, 133.11764705882354]
01/03/18 : [159.064, 168.0]
02/03/18 : [145.65555555555557, 136.66666666666666]
03/03/18 : [145.454, 138.4]
04/03/18 : [107.10799999999999, 106.8]
05/03/18 : [151.875, 137.75]
06/03/18 : [164.47666666666666, 149.88888888888889]
07/03/18 : [163.164, 145.8]
08/03/18 : [203.998, 185.8]
09/03/18 : [203.79000000000002, 183.6]
10/03/18 : [195.548, 183.8]
11/03/18 : [147.254, 133.4]
12/03/18 : [138.33666666666667, 128.77777777777777]
13/03/18 : [167.672, 153.2]
14/03/18 : [164.528, 159.2]
15/03/18 : [138.622, 129.2]
16/03/18 : [141.442, 133.4]
17/03/18 : [134.652, 124.8]
18/03/18 : [166.68800000000002, 161.8]
19/03/18 : [169.64416666666668, 152.83333333333334]
20/03/18 : [143.36666666666667, 140.5]
21/03/18 : [138.49333333333334, 127.0]
22/03/18 : [114.718, 108.0]
23/03/18 : [109.39833333333333, 104.66666666666667]
24/03/18 : [107.72833333333334, 103.66666666666667]
25/03/18 : [113.38666666666666, 108.16666666666667]
26/03/18 : [131.70166666666668, 135.83333333333334]
27/03/18 : [133.651, 124.1]
28/03/18 : [123.644, 113.6]
29/03/18 : [119.23833333333334, 108.83333333333333]
30/03/18 : [105.06833333333333, 100.16666666666667]
31/03/18 : [121.8, 111.8]
01/04/18 : [110.28800000000001, 105.2]
02/04/18 : [105.65500000000002, 109.5]
03/04/18 : [115.814, 110.6]
04/04/18 : [90.31166666666667, 89.0]
05/04/18 : [98.53833333333334, 94.16666666666667]
06/04/18 : [101.02333333333333, 98.0]
07/04/18 : [90.35333333333334, 89.66666666666667]
08/04/18 : [85.74166666666667, 85.0]
09/04/18 : [100.334, 96.0]
10/04/18 : [80.645, 81.5]
11/04/18 : [74.31833333333333, 74.16666666666667]
12/04/18 : [84.36833333333333, 83.33333333333333]
13/04/18 : [67.79166666666667, 67.83333333333333]
14/04/18 : [68.76333333333334, 68.66666666666667]
15/04/18 : [84.55166666666666, 84.33333333333333]
16/04/18 : [69.00166666666667, 69.16666666666667]
17/04/18 : [77.076, 76.6]
18/04/18 : [63.07833333333334, 63.333333333333336]
19/04/18 : [64.52833333333334, 64.83333333333333]
20/04/18 : [66.30666666666667, 66.33333333333333]
21/04/18 : [81.74, 81.33333333333333]
22/04/18 : [64.07166666666667, 64.33333333333333]
23/04/18 : [99.237, 96.9]
24/04/18 : [97.85000000000001, 95.5]
25/04/18 : [79.89666666666666, 80.0]
26/04/18 : [88.55833333333334, 86.0]
27/04/18 : [70.135, 71.5]
28/04/18 : [102.96333333333332, 100.33333333333333]
29/04/18 : [79.75, 80.66666666666667]
30/04/18 : [55.910000000000004, 56.7]
01/05/18 : [75.76166666666667, 75.83333333333333]
02/05/18 : [73.93333333333334, 115.5]
03/05/18 : [75.47, 68.14285714285714]
04/05/18 : [64.52666666666666, 64.66666666666667]
05/05/18 : [71.12, 71.33333333333333]
06/05/18 : [63.64166666666667, 111.16666666666667]
07/05/18 : [67.898, 67.4]
08/05/18 : [64.99666666666667, 65.33333333333333]
09/05/18 : [58.275999999999996, 58.4]
10/05/18 : [58.18333333333334, 58.5]
11/05/18 : [76.20333333333333, 76.33333333333333]
12/05/18 : [66.24, 66.0]
13/05/18 : [51.335, 51.5]
14/05/18 : [92.55, 92.4]
15/05/18 : [68.55499999999999, 68.33333333333333]
16/05/18 : [48.669999999999995, 49.166666666666664]
17/05/18 : [81.01333333333334, 80.0]
18/05/18 : [66.45666666666666, 84.83333333333333]
19/05/18 : [73.95666666666666, 74.0]
20/05/18 : [85.08333333333333, 84.83333333333333]
21/05/18 : [84.36833333333334, 82.66666666666667]
22/05/18 : [64.418, 64.6]
23/05/18 : [60.85, 61.833333333333336]
24/05/18 : [63.78666666666667, 62.333333333333336]
25/05/18 : [53.281666666666666, 53.5]
26/05/18 : [52.36833333333334, 52.666666666666664]
27/05/18 : [48.836666666666666, 48.833333333333336]
28/05/18 : [63.114, 63.8]
29/05/18 : [51.656666666666666, 54.0]
30/05/18 : [72.42166666666667, 71.66666666666667]
31/05/18 : [76.30833333333334, 76.5]
01/06/18 : [48.465999999999994, 61.2]
02/06/18 : [62.88428571428572, 62.857142857142854]
03/06/18 : [62.175000000000004, 62.333333333333336]
04/06/18 : [69.69833333333334, 70.0]
05/06/18 : [60.413, 60.8]
06/06/18 : [65.95, 65.33333333333333]
07/06/18 : [59.52333333333333, 61.833333333333336]
08/06/18 : [46.39666666666667, 48.833333333333336]
09/06/18 : [56.80166666666667, 60.333333333333336]
10/06/18 : [51.055, 52.833333333333336]
11/06/18 : [65.351, 66.9]
12/06/18 : [49.17666666666667, 49.333333333333336]
13/06/18 : [73.43333333333334, 73.66666666666667]
14/06/18 : [102.11666666666667, 98.16666666666667]
15/06/18 : [128.59833333333333, 119.0]
16/06/18 : [131.155, 121.0]
17/06/18 : [96.30833333333334, 93.66666666666667]
18/06/18 : [108.451, 106.7]
19/06/18 : [99.34499999999998, 96.66666666666667]
20/06/18 : [47.12833333333333, 49.833333333333336]
21/06/18 : [80.65333333333334, 80.66666666666667]
22/06/18 : [71.43666666666667, 74.5]
23/06/18 : [57.405, 62.166666666666664]
24/06/18 : [52.69, 58.166666666666664]
25/06/18 : [42.61666666666667, 53.0]
26/06/18 : [58.032, 60.3]
27/06/18 : [57.626666666666665, 59.0]
28/06/18 : [51.91, 55.333333333333336]
29/06/18 : [49.36833333333334, 49.666666666666664]
30/06/18 : [56.48833333333334, 57.333333333333336]
01/07/18 : [67.28333333333333, 67.66666666666667]
02/07/18 : [67.40333333333334, 67.33333333333333]
03/07/18 : [58.645, 59.833333333333336]
04/07/18 : [62.81333333333333, 63.333333333333336]
05/07/18 : [54.593333333333334, 64.0]
06/07/18 : [81.173, 80.9]
07/07/18 : [45.655, 46.5]
08/07/18 : [47.88166666666667, 48.0]
09/07/18 : [44.34166666666667, 48.833333333333336]
10/07/18 : [40.035000000000004, 76.0]
11/07/18 : [50.065, 51.333333333333336]
12/07/18 : [51.53666666666667, 51.833333333333336]
13/07/18 : [56.564, 56.5]
14/07/18 : [41.145, 41.666666666666664]
15/07/18 : [36.665, 37.166666666666664]
16/07/18 : [40.505, 43.0]
17/07/18 : [54.44200000000001, 55.9]
18/07/18 : [44.89166666666667, 47.666666666666664]
19/07/18 : [55.11166666666667, 102.66666666666667]
20/07/18 : [39.52166666666667, 78.83333333333333]
21/07/18 : [30.563333333333333, 97.5]
22/07/18 : [30.331666666666667, 101.66666666666667]
23/07/18 : [43.481, 45.7]
24/07/18 : [44.61166666666666, 47.0]
25/07/18 : [54.18833333333333, 54.5]
26/07/18 : [51.22166666666667, 53.0]
27/07/18 : [50.435, 51.666666666666664]
28/07/18 : [57.531666666666666, 58.0]
29/07/18 : [59.20666666666667, 60.5]
30/07/18 : [57.413333333333334, 57.833333333333336]
31/07/18 : [56.52, 57.0]
01/08/18 : [54.778333333333336, 59.833333333333336]
02/08/18 : [60.18166666666667, 60.333333333333336]
03/08/18 : [71.91000000000001, 72.0]
04/08/18 : [68.65333333333334, 68.0]
05/08/18 : [47.29666666666666, 47.333333333333336]
06/08/18 : [54.730999999999995, 54.9]
07/08/18 : [39.553333333333335, 41.166666666666664]
08/08/18 : [52.821666666666665, 54.0]
09/08/18 : [55.96333333333333, 58.333333333333336]
10/08/18 : [51.071666666666665, 51.333333333333336]
11/08/18 : [55.535000000000004, 55.666666666666664]
12/08/18 : [42.97666666666667, 43.166666666666664]
13/08/18 : [51.992000000000004, 53.6]
14/08/18 : [53.245000000000005, 54.833333333333336]
15/08/18 : [38.07833333333333, 39.5]
16/08/18 : [38.66166666666667, 43.0]
17/08/18 : [47.745000000000005, 48.166666666666664]
18/08/18 : [60.211666666666666, 60.833333333333336]
19/08/18 : [51.57833333333334, 51.833333333333336]
20/08/18 : [35.705000000000005, 37.166666666666664]
21/08/18 : [44.993, 46.8]
22/08/18 : [54.086666666666666, 54.833333333333336]
23/08/18 : [58.41166666666667, 58.5]
24/08/18 : [65.56666666666666, 66.0]
25/08/18 : [45.01666666666667, 46.333333333333336]
26/08/18 : [39.949999999999996, 40.166666666666664]
27/08/18 : [47.446000000000005, 48.1]
28/08/18 : [39.501666666666665, 41.5]
29/08/18 : [34.415, 37.166666666666664]
30/08/18 : [67.08999999999999, 67.16666666666667]
31/08/18 : [55.69333333333333, 56.166666666666664]
01/09/18 : [43.355, 46.666666666666664]
02/09/18 : [35.87833333333333, 39.0]
03/09/18 : [70.15833333333333, 71.66666666666667]
04/09/18 : [79.28099999999999, 79.1]
05/09/18 : [38.625, 39.5]
06/09/18 : [32.14, 34.333333333333336]
07/09/18 : [43.20333333333334, 43.833333333333336]
08/09/18 : [55.955000000000005, 56.0]
09/09/18 : [58.053333333333335, 58.333333333333336]
10/09/18 : [47.236000000000004, 47.7]
11/09/18 : [57.576666666666675, 59.333333333333336]
12/09/18 : [86.28500000000001, 86.16666666666667]
13/09/18 : [75.085, 75.83333333333333]
14/09/18 : [91.78000000000002, 92.16666666666667]
15/09/18 : [80.245, 80.66666666666667]
16/09/18 : [82.02499999999999, 79.16666666666667]
17/09/18 : [96.03833333333334, 93.83333333333333]
18/09/18 : [102.43199999999999, 99.2]
19/09/18 : [100.27166666666666, 92.66666666666667]
20/09/18 : [31.544999999999998, 32.666666666666664]
21/09/18 : [25.959999999999997, 30.0]
22/09/18 : [41.52166666666667, 42.166666666666664]
23/09/18 : [51.41833333333333, 51.666666666666664]
24/09/18 : [44.61, 44.6]
25/09/18 : [59.37166666666667, 61.0]
26/09/18 : [83.45833333333333, 81.5]
27/09/18 : [73.615, 76.33333333333333]
28/09/18 : [76.825, 81.0]
29/09/18 : [68.81833333333333, 72.5]
30/09/18 : [80.72, 79.83333333333333]
01/10/18 : [81.727, 81.4]
02/10/18 : [100.16666666666667, 96.0]
03/10/18 : [121.15333333333335, 114.5]
04/10/18 : [120.85833333333333, 117.66666666666667]
05/10/18 : [135.85833333333332, 136.33333333333334]
06/10/18 : [139.26500000000001, 138.16666666666666]
07/10/18 : [133.82166666666666, 131.33333333333334]
08/10/18 : [135.47166666666666, 129.0]
09/10/18 : [90.233, 88.7]
10/10/18 : [47.25666666666666, 49.5]
11/10/18 : [57.24166666666667, 57.833333333333336]
12/10/18 : [45.48, 45.666666666666664]
13/10/18 : [48.343333333333334, 49.5]
14/10/18 : [96.31333333333333, 98.33333333333333]
15/10/18 : [129.08833333333334, 135.0]
16/10/18 : [180.257, 180.2]
17/10/18 : [181.09666666666666, 187.0]
18/10/18 : [174.26666666666665, 177.83333333333334]
19/10/18 : [156.36333333333334, 160.83333333333334]
20/10/18 : [140.09166666666667, 136.83333333333334]
21/10/18 : [116.03500000000001, 119.5]
22/10/18 : [142.785, 140.33333333333334]
23/10/18 : [146.645, 141.4]
24/10/18 : [139.55833333333334, 139.0]
25/10/18 : [145.81833333333333, 139.5]
26/10/18 : [189.3516666666667, 188.66666666666666]
27/10/18 : [165.42833333333334, 157.16666666666666]
28/10/18 : [102.02499999999999, 101.83333333333333]
29/10/18 : [53.263, 55.4]
30/10/18 : [47.461666666666666, 51.166666666666664]
31/10/18 : [47.74428571428571, 51.857142857142854]
01/11/18 : [80.13888888888889, 83.55555555555556]
02/11/18 : [88.56888888888889, 91.0]
03/11/18 : [100.38875, 103.375]
04/11/18 : [66.69, 66.875]
05/11/18 : [69.306, 71.6]
06/11/18 : [155.83052631578946, 199.31578947368422]
07/11/18 : [217.97947368421055, 248.31578947368422]
08/11/18 : [206.248, 317.6]
09/11/18 : [184.14625, 243.25]
10/11/18 : [182.7588888888889, 219.33333333333334]
11/11/18 : [145.47222222222223, 181.88888888888889]
12/11/18 : [146.49636363636364, 173.63636363636363]
13/11/18 : [192.53555555555556, 237.0]
14/11/18 : [208.2788888888889, 259.1111111111111]
15/11/18 : [203.51142857142855, 219.85714285714286]
16/11/18 : [202.08571428571426, 201.42857142857142]
17/11/18 : [190.52, 202.57142857142858]
18/11/18 : [177.95857142857145, 182.71428571428572]
19/11/18 : [199.04181818181817, 225.0]
20/11/18 : [189.0742857142857, 221.0]
21/11/18 : [196.54, 215.28571428571428]
22/11/18 : [251.33857142857144, 250.0]
23/11/18 : [214.74428571428572, 239.71428571428572]
24/11/18 : [265.50428571428574, 263.7142857142857]
25/11/18 : [250.03571428571428, 248.0]
26/11/18 : [213.99285714285716, 225.0]
27/11/18 : [184.88363636363636, 186.8181818181818]
28/11/18 : [152.08285714285714, 157.0]
29/11/18 : [148.6242857142857, 155.0]
30/11/18 : [206.98000000000002, 215.0]
01/12/18 : [222.58428571428573, 229.85714285714286]
02/12/18 : [209.56, 230.28571428571428]
03/12/18 : [236.57285714285715, 241.42857142857142]
04/12/18 : [263.2342857142857, 261.85714285714283]
05/12/18 : [255.51714285714283, 268.57142857142856]
06/12/18 : [265.0209090909091, 259.1818181818182]
07/12/18 : [284.5, 273.42857142857144]
08/12/18 : [285.2085714285714, 278.2857142857143]
09/12/18 : [280.4528571428571, 279.42857142857144]
