01/01/14 : [198.415, 165.5]
02/01/14 : [229.6242857142857, 209.71428571428572]
03/01/14 : [223.12166666666667, 201.5]
04/01/14 : [189.145, 159.0]
05/01/14 : [214.33166666666668, 193.16666666666666]
06/01/14 : [245.21166666666667, 215.66666666666666]
07/01/14 : [186.67999999999998, 157.66666666666666]
08/01/14 : [198.90833333333333, 188.5]
09/01/14 : [247.30714285714288, 216.71428571428572]
10/01/14 : [226.09000000000003, 185.0]
11/01/14 : [175.765, 150.5]
12/01/14 : [166.95999999999998, 144.5]
13/01/14 : [172.99, 171.33333333333334]
14/01/14 : [203.40333333333334, 186.16666666666666]
15/01/14 : [153.83499999999998, 136.0]
16/01/14 : [202.1985714285714, 185.42857142857142]
17/01/14 : [250.83333333333334, 219.0]
18/01/14 : [168.72, 149.5]
19/01/14 : [195.79500000000002, 164.0]
20/01/14 : [139.42000000000002, 126.0]
21/01/14 : [185.90833333333333, 170.83333333333334]
22/01/14 : [235.0142857142857, 205.85714285714286]
23/01/14 : [203.0, 182.0]
24/01/14 : [214.03142857142856, 190.85714285714286]
25/01/14 : [209.095, 190.5]
26/01/14 : [121.81, 114.5]
27/01/14 : [173.45000000000002, 158.5]
28/01/14 : [227.65285714285713, 204.0]
29/01/14 : [205.515, 170.0]
30/01/14 : [228.60999999999999, 202.57142857142858]
31/01/14 : [233.54833333333332, 192.0]
01/02/14 : [159.70499999999998, 139.5]
02/02/14 : [161.38833333333332, 153.33333333333334]
03/02/14 : [194.6314285714286, 163.14285714285714]
04/02/14 : [174.36, 149.5]
05/02/14 : [189.29000000000002, 161.0]
06/02/14 : [194.49333333333334, 163.33333333333334]
07/02/14 : [199.07714285714286, 199.71428571428572]
08/02/14 : [168.05, 145.0]
09/02/14 : [209.075, 174.0]
10/02/14 : [142.70833333333334, 139.5]
11/02/14 : [185.03285714285715, 170.85714285714286]
12/02/14 : [155.23000000000002, 136.5]
13/02/14 : [179.49571428571429, 169.85714285714286]
14/02/14 : [179.70000000000002, 173.83333333333334]
15/02/14 : [142.99, 129.0]
16/02/14 : [50.675000000000004, 53.0]
17/02/14 : [82.135, 81.5]
18/02/14 : [145.135, 143.0]
19/02/14 : [177.8757142857143, 167.28571428571428]
20/02/14 : [179.29000000000002, 152.5]
21/02/14 : [199.4, 188.14285714285714]
22/02/14 : [166.67166666666665, 163.33333333333334]
23/02/14 : [132.94, 122.0]
24/02/14 : [130.2, 119.5]
25/02/14 : [148.85714285714286, 144.0]
