25/05/16 : [70.29, 70.5]
26/05/16 : [97.32333333333334, 93.16666666666667]
27/05/16 : [81.09333333333333, 80.33333333333333]
28/05/16 : [116.07, 108.83333333333333]
29/05/16 : [78.12666666666667, 76.83333333333333]
30/05/16 : [68.06166666666667, 68.33333333333333]
31/05/16 : [87.16285714285713, 85.28571428571429]
01/06/16 : [56.042857142857144, 58.0]
02/06/16 : [53.958333333333336, 54.166666666666664]
03/06/16 : [56.36818181818182, 57.0]
04/06/16 : [70.51714285714286, 70.57142857142857]
05/06/16 : [43.17285714285715, 43.285714285714285]
06/06/16 : [54.56571428571429, 55.285714285714285]
07/06/16 : [54.97818181818182, 55.18181818181818]
08/06/16 : [43.93571428571429, 44.142857142857146]
09/06/16 : [61.99714285714286, 62.0]
10/06/16 : [88.99285714285715, 86.85714285714286]
11/06/16 : [87.51333333333332, 87.16666666666667]
12/06/16 : [60.973333333333336, 61.0]
13/06/16 : [34.71090909090909, 37.27272727272727]
14/06/16 : [57.30285714285714, 60.714285714285715]
15/06/16 : [83.13857142857144, 81.71428571428571]
16/06/16 : [77.14571428571428, 75.71428571428571]
17/06/16 : [48.29571428571428, 50.57142857142857]
18/06/16 : [40.21142857142858, 40.42857142857143]
19/06/16 : [49.120000000000005, 49.285714285714285]
20/06/16 : [49.93285714285714, 51.142857142857146]
21/06/16 : [65.86727272727272, 65.81818181818181]
22/06/16 : [52.99142857142857, 54.57142857142857]
23/06/16 : [44.93428571428571, 45.42857142857143]
24/06/16 : [44.72428571428571, 46.0]
25/06/16 : [66.94285714285715, 65.71428571428571]
26/06/16 : [59.29333333333333, 59.333333333333336]
27/06/16 : [82.10000000000001, 79.36363636363636]
28/06/16 : [46.37428571428571, 47.142857142857146]
29/06/16 : [56.32714285714285, 57.42857142857143]
30/06/16 : [40.82142857142857, 42.57142857142857]
01/07/16 : [42.01714285714286, 45.57142857142857]
02/07/16 : [34.19857142857143, 37.0]
03/07/16 : [40.012857142857136, 41.285714285714285]
04/07/16 : [56.99571428571429, 59.42857142857143]
05/07/16 : [42.23090909090909, 43.27272727272727]
06/07/16 : [55.03857142857142, 55.142857142857146]
07/07/16 : [58.26285714285715, 58.42857142857143]
08/07/16 : [43.27428571428571, 44.285714285714285]
09/07/16 : [39.271428571428565, 41.714285714285715]
10/07/16 : [39.94571428571429, 41.57142857142857]
11/07/16 : [31.30272727272727, 33.36363636363637]
12/07/16 : [29.685714285714287, 32.57142857142857]
13/07/16 : [60.994285714285716, 63.142857142857146]
14/07/16 : [59.19857142857143, 59.57142857142857]
15/07/16 : [55.08428571428572, 55.857142857142854]
16/07/16 : [46.182857142857145, 46.42857142857143]
17/07/16 : [59.70428571428572, 59.857142857142854]
18/07/16 : [55.54, 55.8]
19/07/16 : [57.08363636363636, 56.45454545454545]
20/07/16 : [49.66285714285714, 49.857142857142854]
21/07/16 : [41.855714285714285, 42.0]
22/07/16 : [34.83, 37.57142857142857]
23/07/16 : [40.51428571428572, 42.0]
24/07/16 : [30.634285714285713, 32.57142857142857]
25/07/16 : [28.680000000000003, 31.09090909090909]
26/07/16 : [39.23571428571428, 41.857142857142854]
27/07/16 : [39.794285714285714, 41.57142857142857]
28/07/16 : [48.472857142857144, 50.0]
29/07/16 : [66.65714285714286, 66.57142857142857]
30/07/16 : [62.32857142857143, 63.57142857142857]
31/07/16 : [51.748333333333335, 52.0]
01/08/16 : [64.22285714285714, 64.71428571428571]
02/08/16 : [44.76181818181818, 46.72727272727273]
03/08/16 : [28.814999999999998, 32.666666666666664]
04/08/16 : [25.761666666666667, 28.166666666666668]
05/08/16 : [40.472857142857144, 41.142857142857146]
06/08/16 : [36.57714285714285, 39.857142857142854]
