14/06/15 : [69.7475, 78.5]
15/06/15 : [61.4125, 72.0]
16/06/15 : [47.33, 53.6]
17/06/15 : [71.7475, 82.5]
18/06/15 : [38.33, 46.4]
19/06/15 : [35.625, 42.75]
20/06/15 : [49.416666666666664, 53.333333333333336]
21/06/15 : [44.71, 51.5]
22/06/15 : [34.012, 43.8]
23/06/15 : [72.23, 77.0]
24/06/15 : [81.562, 83.2]
25/06/15 : [91.208, 90.6]
26/06/15 : [98.22333333333331, 94.66666666666667]
27/06/15 : [102.73, 99.0]
28/06/15 : [79.56, 79.66666666666667]
29/06/15 : [97.755, 96.33333333333333]
30/06/15 : [74.02250000000001, 85.5]
01/07/15 : [92.6075, 97.25]
02/07/15 : [88.67, 87.6]
03/07/15 : [123.99000000000001, 114.0]
04/07/15 : [116.95666666666666, 111.33333333333333]
05/07/15 : [76.26333333333334, 76.33333333333333]
06/07/15 : [77.65, 76.2]
07/07/15 : [73.655, 73.75]
08/07/15 : [76.90333333333332, 75.0]
09/07/15 : [50.648, 59.8]
10/07/15 : [65.5475, 75.0]
11/07/15 : [99.11500000000001, 95.75]
12/07/15 : [79.7375, 78.75]
13/07/15 : [75.22, 84.6]
14/07/15 : [65.345, 72.0]
15/07/15 : [65.712, 71.2]
16/07/15 : [63.94, 73.0]
17/07/15 : [52.2575, 71.75]
18/07/15 : [65.20666666666666, 67.66666666666667]
19/07/15 : [58.9425, 66.0]
20/07/15 : [38.567499999999995, 62.5]
21/07/15 : [45.41285714285714, 56.285714285714285]
22/07/15 : [38.8625, 55.5]
23/07/15 : [31.701999999999998, 65.6]
24/07/15 : [61.3225, 71.25]
25/07/15 : [49.02, 64.75]
26/07/15 : [38.115, 45.0]
27/07/15 : [41.089999999999996, 55.6]
28/07/15 : [41.55, 55.5]
29/07/15 : [41.739999999999995, 61.6]
30/07/15 : [60.69, 68.5]
31/07/15 : [33.34, 48.5]
01/08/15 : [31.1925, 43.5]
02/08/15 : [37.332499999999996, 44.25]
03/08/15 : [50.23166666666666, 66.33333333333333]
04/08/15 : [55.226, 73.2]
05/08/15 : [65.63499999999999, 77.5]
06/08/15 : [67.19200000000001, 78.0]
07/08/15 : [66.755, 76.75]
08/08/15 : [47.3875, 53.25]
09/08/15 : [39.1625, 42.0]
10/08/15 : [37.592, 44.2]
11/08/15 : [48.225, 52.5]
12/08/15 : [27.380000000000003, 37.0]
13/08/15 : [37.91, 47.0]
14/08/15 : [49.2775, 54.75]
15/08/15 : [43.445, 48.5]
16/08/15 : [40.03, 45.25]
17/08/15 : [49.4925, 59.0]
18/08/15 : [49.607142857142854, 58.0]
19/08/15 : [47.36, 62.75]
20/08/15 : [59.129999999999995, 74.6]
21/08/15 : [69.5975, 68.75]
22/08/15 : [68.97749999999999, 69.0]
23/08/15 : [72.67, 73.0]
24/08/15 : [66.52, 65.25]
25/08/15 : [44.763999999999996, 77.4]
26/08/15 : [41.05, 49.5]
27/08/15 : [37.57142857142857, 43.0]
28/08/15 : [39.505, 48.0]
29/08/15 : [55.6425, 65.5]
30/08/15 : [53.3475, 53.75]
31/08/15 : [75.6675, 81.25]
01/09/15 : [91.952, 87.8]
02/09/15 : [79.5975, 71.0]
03/09/15 : [191.892, 202.4]
04/09/15 : [112.99166666666667, 109.33333333333333]
05/09/15 : [92.10249999999999, 85.75]
06/09/15 : [106.985, 95.5]
07/09/15 : [96.764, 90.4]
08/09/15 : [90.65833333333335, 88.0]
09/09/15 : [92.018, 89.4]
10/09/15 : [78.76, 79.75]
11/09/15 : [43.057500000000005, 47.75]
12/09/15 : [40.44, 45.0]
13/09/15 : [49.432500000000005, 51.75]
14/09/15 : [45.415, 48.166666666666664]
15/09/15 : [35.604, 39.8]
16/09/15 : [40.425, 44.25]
17/09/15 : [42.35, 46.2]
18/09/15 : [52.5575, 54.75]
19/09/15 : [50.795, 55.25]
20/09/15 : [28.85, 36.5]
21/09/15 : [37.653999999999996, 46.6]
22/09/15 : [74.16666666666667, 76.66666666666667]
23/09/15 : [74.566, 77.8]
24/09/15 : [90.88, 84.5]
25/09/15 : [89.545, 85.5]
26/09/15 : [118.9525, 108.75]
27/09/15 : [101.43, 95.75]
28/09/15 : [122.526, 113.4]
29/09/15 : [121.7025, 112.25]
30/09/15 : [119.02799999999999, 113.2]
01/10/15 : [126.22, 113.5]
02/10/15 : [74.67, 76.5]
03/10/15 : [77.75333333333333, 79.33333333333333]
04/10/15 : [98.56, 96.0]
05/10/15 : [100.4025, 98.0]
06/10/15 : [69.105, 70.0]
07/10/15 : [60.74400000000001, 63.6]
08/10/15 : [62.2375, 68.5]
09/10/15 : [96.286, 94.8]
10/10/15 : [105.9075, 100.75]
11/10/15 : [104.63, 98.5]
12/10/15 : [88.4275, 85.5]
13/10/15 : [70.11571428571429, 73.14285714285714]
14/10/15 : [51.052499999999995, 57.75]
15/10/15 : [66.822, 70.4]
16/10/15 : [86.2325, 90.0]
17/10/15 : [112.78000000000002, 108.0]
18/10/15 : [120.42333333333333, 113.66666666666667]
19/10/15 : [187.43999999999997, 158.33333333333334]
20/10/15 : [194.878, 184.8]
21/10/15 : [189.65666666666667, 194.66666666666666]
22/10/15 : [184.41666666666666, 156.33333333333334]
23/10/15 : [123.7075, 114.0]
24/10/15 : [119.2575, 110.75]
25/10/15 : [121.8375, 112.75]
26/10/15 : [117.49166666666667, 120.83333333333333]
27/10/15 : [131.20333333333335, 132.0]
28/10/15 : [124.94, 116.25]
29/10/15 : [117.34400000000001, 110.4]
30/10/15 : [121.11500000000001, 115.5]
31/10/15 : [52.5725, 56.75]
01/11/15 : [47.82, 53.0]
02/11/15 : [85.41166666666668, 88.33333333333333]
03/11/15 : [75.88199999999999, 84.2]
04/11/15 : [73.525, 87.0]
05/11/15 : [105.37363636363638, 101.81818181818181]
06/11/15 : [108.215, 109.5]
07/11/15 : [142.5575, 131.0]
08/11/15 : [137.975, 125.25]
09/11/15 : [131.675, 119.5]
10/11/15 : [154.053, 172.5]
11/11/15 : [204.946, 208.6]
12/11/15 : [181.72, 154.5]
13/11/15 : [176.64499999999998, 164.0]
14/11/15 : [210.4775, 174.0]
15/11/15 : [158.985, 150.0]
16/11/15 : [169.086, 158.4]
17/11/15 : [200.86, 172.5]
18/11/15 : [132.572, 119.2]
19/11/15 : [166.48000000000002, 151.75]
20/11/15 : [154.31285714285715, 136.57142857142858]
21/11/15 : [116.36, 114.75]
22/11/15 : [145.74, 141.5]
23/11/15 : [145.77285714285713, 133.0]
24/11/15 : [181.4975, 169.75]
25/11/15 : [169.835, 167.75]
26/11/15 : [153.99200000000002, 136.6]
27/11/15 : [150.735, 149.5]
28/11/15 : [162.3425, 141.75]
29/11/15 : [192.9225, 162.25]
30/11/15 : [212.45250000000001, 204.75]
01/12/15 : [207.57, 196.75]
02/12/15 : [224.73000000000002, 189.0]
03/12/15 : [147.96333333333334, 138.66666666666666]
04/12/15 : [157.55, 148.25]
05/12/15 : [192.73499999999999, 164.5]
06/12/15 : [138.53, 131.0]
07/12/15 : [186.13, 177.2]
08/12/15 : [207.03166666666667, 171.66666666666666]
09/12/15 : [179.145, 170.25]
10/12/15 : [194.424, 173.4]
11/12/15 : [184.1775, 156.0]
12/12/15 : [129.81, 119.66666666666667]
13/12/15 : [178.83, 152.66666666666666]
14/12/15 : [178.85750000000002, 154.0]
15/12/15 : [174.04000000000002, 166.0]
16/12/15 : [226.23, 203.25]
17/12/15 : [222.59, 185.75]
18/12/15 : [193.58142857142857, 180.57142857142858]
19/12/15 : [211.485, 207.75]
20/12/15 : [227.1575, 190.75]
21/12/15 : [199.596, 189.4]
22/12/15 : [212.675, 200.5]
23/12/15 : [177.786, 151.8]
24/12/15 : [173.885, 158.5]
25/12/15 : [191.245, 171.75]
26/12/15 : [246.36666666666667, 201.0]
27/12/15 : [190.53, 183.66666666666666]
28/12/15 : [307.41499999999996, 264.0]
29/12/15 : [415.72, 382.0]
30/12/15 : [376.525, 339.0]
31/12/15 : [369.71, 325.0]
