Date,City,PM10,AQI
01/01/11,Kolkata,220.63000000000002,181.8
02/01/11,Kolkata,174.29999999999998,149.5
03/01/11,Kolkata,180.30166666666665,155.33333333333334
04/01/11,Kolkata,180.35,156.85714285714286
05/01/11,Kolkata,189.372,174.8
06/01/11,Kolkata,194.8642857142857,166.57142857142858
07/01/11,Kolkata,213.11800000000002,179.2
08/01/11,Kolkata,221.78000000000003,194.2
09/01/11,Kolkata,193.32833333333335,165.33333333333334
10/01/11,Kolkata,190.23499999999999,161.66666666666666
11/01/11,Kolkata,238.28333333333333,199.66666666666666
12/01/11,Kolkata,265.485,225.5
13/01/11,Kolkata,341.6485714285714,299.57142857142856
14/01/11,Kolkata,307.00444444444446,260.8888888888889
15/01/11,Kolkata,216.64666666666668,181.5
16/01/11,Kolkata,239.01833333333335,198.0
17/01/11,Kolkata,158.22,138.8
18/01/11,Kolkata,225.37142857142857,197.71428571428572
19/01/11,Kolkata,210.375,178.2
20/01/11,Kolkata,172.795,151.83333333333334
21/01/11,Kolkata,241.08333333333334,208.16666666666666
22/01/11,Kolkata,255.03333333333333,220.33333333333334
23/01/11,Kolkata,164.855,203.25
24/01/11,Kolkata,199.73333333333335,235.66666666666666
25/01/11,Kolkata,231.25571428571428,218.85714285714286
26/01/11,Kolkata,232.358,208.0
27/01/11,Kolkata,208.1142857142857,177.57142857142858
28/01/11,Kolkata,155.955,149.66666666666666
29/01/11,Kolkata,158.75,141.5
30/01/11,Kolkata,200.506,173.2
31/01/11,Kolkata,165.72666666666666,152.16666666666666
01/02/11,Kolkata,202.86818181818182,179.1818181818182
02/02/11,Kolkata,218.59166666666667,187.66666666666666
03/02/11,Kolkata,215.55166666666665,193.0
04/02/11,Kolkata,210.51833333333335,182.16666666666666
05/02/11,Kolkata,215.6833333333333,182.33333333333334
06/02/11,Kolkata,266.6466666666667,233.16666666666666
07/02/11,Kolkata,246.40285714285713,217.57142857142858
08/02/11,Kolkata,181.57,164.0
09/02/11,Kolkata,148.573,133.0
10/02/11,Kolkata,172.6142857142857,160.0
11/02/11,Kolkata,187.43400000000003,170.6
12/02/11,Kolkata,130.76166666666666,184.66666666666666
13/02/11,Kolkata,157.69400000000002,164.66666666666666
14/02/11,Kolkata,164.182,160.0
15/02/11,Kolkata,149.615,142.14285714285714
16/02/11,Kolkata,134.542,134.0
17/02/11,Kolkata,129.03,121.63636363636364
18/02/11,Kolkata,104.90666666666668,107.66666666666667
19/02/11,Kolkata,140.956,130.8
20/02/11,Kolkata,133.69833333333335,125.5
21/02/11,Kolkata,160.34888888888887,144.22222222222223
