01/01/13 : [306.8014285714286, 263.57142857142856]
02/01/13 : [182.91, 155.0]
03/01/13 : [206.2342857142857, 192.57142857142858]
04/01/13 : [259.56166666666667, 223.66666666666666]
05/01/13 : [181.435, 154.0]
06/01/13 : [251.87666666666667, 227.33333333333334]
07/01/13 : [294.08666666666664, 254.0]
08/01/13 : [149.33333333333334, 132.33333333333334]
09/01/13 : [240.625, 214.0]
10/01/13 : [263.0157142857143, 225.28571428571428]
11/01/13 : [204.64499999999998, 117.33333333333333]
12/01/13 : [243.45, 198.0]
13/01/13 : [272.27, 234.0]
14/01/13 : [326.16499999999996, 335.0]
15/01/13 : [284.06714285714287, 272.0]
16/01/13 : [282.69166666666666, 263.6666666666667]
17/01/13 : [254.77499999999998, 269.0]
18/01/13 : [233.26333333333332, 216.0]
19/01/13 : [248.23666666666668, 239.66666666666666]
20/01/13 : [146.47, 131.0]
21/01/13 : [172.275, 170.83333333333334]
22/01/13 : [195.27999999999997, 163.5]
23/01/13 : [124.66999999999999, 155.0]
24/01/13 : [192.24285714285716, 180.57142857142858]
25/01/13 : [216.885, 199.33333333333334]
26/01/13 : [135.58999999999997, 125.0]
27/01/13 : [166.285, 178.16666666666666]
28/01/13 : [247.15, 227.16666666666666]
29/01/13 : [185.49, 179.0]
30/01/13 : [237.63, 231.0]
31/01/13 : [273.355, 259.5]
01/02/13 : [213.41000000000003, 184.5]
02/02/13 : [222.54000000000002, 215.5]
03/02/13 : [215.765, 177.5]
04/02/13 : [236.24333333333334, 223.83333333333334]
05/02/13 : [234.16857142857143, 209.71428571428572]
06/02/13 : [193.41000000000003, 177.5]
07/02/13 : [187.71857142857144, 165.28571428571428]
08/02/13 : [168.365, 144.83333333333334]
09/02/13 : [117.69, 111.5]
10/02/13 : [147.795, 149.83333333333334]
11/02/13 : [162.4057142857143, 170.71428571428572]
12/02/13 : [139.76, 126.5]
13/02/13 : [155.92714285714285, 158.28571428571428]
14/02/13 : [182.85500000000002, 184.0]
15/02/13 : [233.29500000000002, 196.5]
16/02/13 : [157.875, 139.0]
17/02/13 : [75.45, 75.5]
18/02/13 : [142.85, 157.16666666666666]
19/02/13 : [152.77285714285716, 156.42857142857142]
20/02/13 : [113.975, 109.0]
21/02/13 : [92.45, 92.66666666666667]
22/02/13 : [138.98333333333332, 153.33333333333334]
23/02/13 : [169.33, 172.83333333333334]
24/02/13 : [141.20333333333335, 149.33333333333334]
25/02/13 : [129.78333333333333, 127.0]
26/02/13 : [141.60166666666666, 145.5]
27/02/13 : [140.93, 149.85714285714286]
28/02/13 : [169.46499999999997, 146.5]
01/03/13 : [158.81833333333333, 158.16666666666666]
02/03/13 : [160.30666666666667, 164.16666666666666]
03/03/13 : [129.935, 120.0]
04/03/13 : [160.95166666666668, 160.5]
05/03/13 : [161.14000000000001, 159.14285714285714]
06/03/13 : [122.63, 113.5]
07/03/13 : [131.8942857142857, 127.85714285714286]
08/03/13 : [183.90333333333334, 164.5]
09/03/13 : [150.055, 133.5]
10/03/13 : [124.175, 114.66666666666667]
11/03/13 : [116.11333333333334, 108.5]
12/03/13 : [127.66333333333334, 116.0]
13/03/13 : [118.40500000000002, 112.33333333333333]
14/03/13 : [106.57285714285715, 100.42857142857143]
15/03/13 : [118.795, 110.0]
16/03/13 : [145.7, 130.5]
17/03/13 : [153.635, 136.0]
18/03/13 : [96.04, 93.83333333333333]
19/03/13 : [116.9057142857143, 109.14285714285714]
20/03/13 : [110.86, 101.5]
21/03/13 : [134.47857142857143, 122.42857142857143]
22/03/13 : [112.47666666666667, 106.0]
23/03/13 : [93.78999999999999, 90.0]
24/03/13 : [94.975, 89.0]
25/03/13 : [118.065, 121.0]
26/03/13 : [139.605, 125.33333333333333]
27/03/13 : [121.62, 113.16666666666667]
28/03/13 : [98.01666666666667, 95.66666666666667]
29/03/13 : [126.12166666666667, 116.83333333333333]
30/03/13 : [121.84499999999998, 113.5]
31/03/13 : [68.225, 68.0]
01/04/13 : [100.565, 97.5]
02/04/13 : [75.42857142857143, 75.28571428571429]
03/04/13 : [90.12666666666667, 89.66666666666667]
04/04/13 : [95.79, 90.0]
05/04/13 : [125.904, 117.4]
06/04/13 : [107.828, 103.8]
07/04/13 : [124.4, 116.0]
08/04/13 : [104.8, 101.6]
09/04/13 : [96.61666666666667, 93.5]
10/04/13 : [114.7, 110.0]
11/04/13 : [94.65, 89.0]
12/04/13 : [82.94166666666666, 83.16666666666667]
13/04/13 : [90.562, 89.4]
14/04/13 : [48.01, 48.0]
15/04/13 : [96.032, 93.0]
16/04/13 : [85.94166666666666, 83.0]
17/04/13 : [65.88, 66.0]
18/04/13 : [64.18166666666667, 64.33333333333333]
19/04/13 : [68.27499999999999, 68.5]
20/04/13 : [61.349999999999994, 62.0]
21/04/13 : [55.88166666666666, 56.0]
22/04/13 : [69.06, 70.16666666666667]
23/04/13 : [54.36333333333334, 55.333333333333336]
24/04/13 : [73.24833333333333, 73.33333333333333]
25/04/13 : [70.54571428571428, 79.0]
