YEAR,MONTH,CITY,MAX,AVG,MIN
2010,JAN,HOWRAH,27,19,13
2010,FEB,HOWRAH,32,23,17
2010,MAR,HOWRAH,39,30,23
2010,APR,HOWRAH,42,34,28
2010,MAY,HOWRAH,40,33,28
2010,JUN,HOWRAH,37,32,29
2010,JUL,HOWRAH,32,29,26
2010,AUG,HOWRAH,34,29,26
2010,SEP,HOWRAH,32,28,25
2010,OCT,HOWRAH,31,26,23
2010,NOV,HOWRAH,31,25,20
2010,DEC,HOWRAH,26,20,15
2011,JAN,HOWRAH,26,19,14
2011,FEB,HOWRAH,31,23,17
2011,MAR,HOWRAH,35,27,21
2011,APR,HOWRAH,37,29,24
2011,MAY,HOWRAH,38,32,28
2011,JUN,HOWRAH,34,31,28
2011,JUL,HOWRAH,33,29,27
2011,AUG,HOWRAH,32,29,26
2011,SEP,HOWRAH,31,28,25
2011,OCT,HOWRAH,31,27,23
2011,NOV,HOWRAH,29,23,19
2011,DEC,HOWRAH,27,21,16
2012,JAN,HOWRAH,26,20,15
2012,FEB,HOWRAH,30,23,17
2012,MAR,HOWRAH,36,27,21
2012,APR,HOWRAH,38,31,26
2012,MAY,HOWRAH,40,33,28
2012,JUN,HOWRAH,39,33,29
2012,JUL,HOWRAH,34,30,27
2012,AUG,HOWRAH,32,29,26
2012,SEP,HOWRAH,31,28,25
2012,OCT,HOWRAH,31,26,22
2012,NOV,HOWRAH,28,23,18
2012,DEC,HOWRAH,27,20,15
2013,JAN,HOWRAH,26,19,14
2013,FEB,HOWRAH,30,23,18
2013,MAR,HOWRAH,36,28,21
2013,APR,HOWRAH,39,31,26
2013,MAY,HOWRAH,36,31,28
2013,JUN,HOWRAH,35,31,28
2013,JUL,HOWRAH,34,30,27
2013,AUG,HOWRAH,32,29,26
2013,SEP,HOWRAH,32,28,26
2013,OCT,HOWRAH,29,26,23
2013,NOV,HOWRAH,28,22,18
2013,DEC,HOWRAH,27,21,17
2014,JAN,HOWRAH,26,20,15
2014,FEB,HOWRAH,30,23,18
2014,MAR,HOWRAH,35,28,22
2014,APR,HOWRAH,41,33,26
2014,MAY,HOWRAH,40,33,29
2014,JUN,HOWRAH,38,33,29
2014,JUL,HOWRAH,33,30,27
2014,AUG,HOWRAH,33,29,27
2014,SEP,HOWRAH,33,28,25
2014,OCT,HOWRAH,31,27,23
2014,NOV,HOWRAH,30,24,19
2014,DEC,HOWRAH,27,21,16
2015,JAN,HOWRAH,26,21,16
2015,FEB,HOWRAH,31,24,19
2015,MAR,HOWRAH,34,28,22
2015,APR,HOWRAH,37,31,26
2015,MAY,HOWRAH,39,33,29
2015,JUN,HOWRAH,36,32,29
2015,JUL,HOWRAH,33,30,28
2015,AUG,HOWRAH,34,30,27
2015,SEP,HOWRAH,34,30,27
2015,OCT,HOWRAH,32,28,24
2015,NOV,HOWRAH,31,25,21
2015,DEC,HOWRAH,28,23,19
2016,JAN,HOWRAH,27,21,17
2016,FEB,HOWRAH,32,26,21
2016,MAR,HOWRAH,36,29,24
2016,APR,HOWRAH,40,33,28
2016,MAY,HOWRAH,38,33,29
2016,JUN,HOWRAH,37,32,29
2016,JUL,HOWRAH,34,30,28
2016,AUG,HOWRAH,33,30,27
2016,SEP,HOWRAH,33,29,26
2016,OCT,HOWRAH,32,27,24
2016,NOV,HOWRAH,29,24,19
2016,DEC,HOWRAH,28,22,17
2017,JAN,HOWRAH,28,21,15
2017,FEB,HOWRAH,31,24,18
2017,MAR,HOWRAH,34,26,21
2017,APR,HOWRAH,38,31,26
2017,MAY,HOWRAH,40,33,29
2017,JUN,HOWRAH,37,32,29
2017,JUL,HOWRAH,34,31,28
2017,AUG,HOWRAH,33,30,28
2017,SEP,HOWRAH,33,30,27
2017,OCT,HOWRAH,31,27,25
2017,NOV,HOWRAH,29,24,20
2017,DEC,HOWRAH,27,22,18
2018,JAN,HOWRAH,26,20,15
2018,FEB,HOWRAH,32,25,20
2018,MAR,HOWRAH,36,29,23
2018,APR,HOWRAH,38,31,26
2018,MAY,HOWRAH,37,32,28
2018,JUN,HOWRAH,37,33,30
2018,JUL,HOWRAH,34,31,28
2018,AUG,HOWRAH,33,30,27
2018,SEP,HOWRAH,33,29,27
2018,OCT,HOWRAH,33,30,26
2018,NOV,HOWRAH,32,29,24
2018,DEC,HOWRAH,27,24,20
2019,JAN,HOWRAH,29,25,20
2019,FEB,HOWRAH,31,28,22
2019,MAR,HOWRAH,35,31,25
2019,APR,HOWRAH,39,35,28
2019,MAY,HOWRAH,40,36,29
2019,JUN,HOWRAH,38,35,30
2019,JUL,HOWRAH,35,33,29
2009,JAN,HALDIA,31,22,17
2009,FEB,HALDIA,34,25,18
2009,MAR,HALDIA,37,29,23
2009,APR,HALDIA,40,32,27
2009,MAY,HALDIA,37,32,28
2009,JUN,HALDIA,39,33,30
2009,JUL,HALDIA,32,29,27
2009,AUG,HALDIA,31,28,26
2009,SEP,HALDIA,31,28,26
2009,OCT,HALDIA,30,25,22
2009,NOV,HALDIA,30,24,20
2009,DEC,HALDIA,29,21,16
2010,JAN,HALDIA,28,20,14
2010,FEB,HALDIA,32,24,18
2010,MAR,HALDIA,38,30,24
2010,APR,HALDIA,39,32,28
2010,MAY,HALDIA,38,32,29
2010,JUN,HALDIA,36,32,29
2010,JUL,HALDIA,32,29,27
2010,AUG,HALDIA,33,29,27
2010,SEP,HALDIA,32,28,26
2010,OCT,HALDIA,31,27,24
2010,NOV,HALDIA,31,26,22
2010,DEC,HALDIA,26,21,17
2011,JAN,HALDIA,27,20,16
2011,FEB,HALDIA,30,24,19
2011,MAR,HALDIA,33,27,23
2011,APR,HALDIA,34,29,25
2011,MAY,HALDIA,35,31,28
2011,JUN,HALDIA,33,31,28
